ID,Fecha_Hora,Etiqueta,Archivo_WAV,Archivo_PNG,Duracion_s,Amplitud_Pico,Promedio_RMS,Diagnostico
18,2026-09-02 12:19:30,mi_voz,dataset\wavs\mi_voz_018.wav,dataset\plots\mi_voz_018.png,2,11299,2438,OK
19,2026-09-02 12:19:34,mi_voz,dataset\wavs\mi_voz_019.wav,dataset\plots\mi_voz_019.png,2,24595,5412,OK
20,2026-09-02 12:19:37,mi_voz,dataset\wavs\mi_voz_020.wav,dataset\plots\mi_voz_020.png,2,16631,3173,OK
21,2026-09-02 12:19:41,mi_voz,dataset\wavs\mi_voz_021.wav,dataset\plots\mi_voz_021.png,2,15506,4626,OK
22,2026-09-02 12:19:45,mi_voz,dataset\wavs\mi_voz_022.wav,dataset\plots\mi_voz_022.png,2,17058,3494,OK
23,2026-09-02 12:19:48,mi_voz,dataset\wavs\mi_voz_023.wav,dataset\plots\mi_voz_023.png,2,20896,3161,OK
24,2026-09-02 12:19:51,mi_voz,dataset\wavs\mi_voz_024.wav,dataset\plots\mi_voz_024.png,2,21983,3608,OK
25,2026-09-02 12:19:55,mi_voz,dataset\wavs\mi_voz_025.wav,dataset\plots\mi_voz_025.png,2,18737,2751,OK
26,2026-09-02 12:19:59,mi_voz,dataset\wavs\mi_voz_026.wav,dataset\plots\mi_voz_026.png,2,16092,2918,OK
27,2026-09-02 12:20:02,mi_voz,dataset\wavs\mi_voz_027.wav,dataset\plots\mi_voz_027.png,2,14979,2938,OK
28,2026-09-02 12:20:06,mi_voz,dataset\wavs\mi_voz_028.wav,dataset\plots\mi_voz_028.png,2,20736,4338,OK
29,2026-09-02 12:20:10,mi_voz,dataset\wavs\mi_voz_029.wav,dataset\plots\mi_voz_029.png,2,22543,4572,OK
30,2026-09-02 12:20:22,mi_voz,dataset\wavs\mi_voz_030.wav,dataset\plots\mi_voz_030.png,2,30015,7631,OK
31,2026-09-02 12:20:25,mi_voz,dataset\wavs\mi_voz_031.wav,dataset\plots\mi_voz_031.png,2,22268,4245,OK
32,2026-09-02 12:20:29,mi_voz,dataset\wavs\mi_voz_032.wav,dataset\plots\mi_voz_032.png,2,25695,5940,OK
33,2026-09-02 12:20:32,mi_voz,dataset\wavs\mi_voz_033.wav,dataset\plots\mi_voz_033.png,2,19714,4005,OK
34,2026-09-02 12:20:35,mi_voz,dataset\wavs\mi_voz_034.wav,dataset\plots\mi_voz_034.png,2,27840,6912,OK
35,2026-09-02 12:20:39,mi_voz,dataset\wavs\mi_voz_035.wav,dataset\plots\mi_voz_035.png,2,20339,4378,OK
36,2026-09-02 12:20:44,mi_voz,dataset\wavs\mi_voz_036.wav,dataset\plots\mi_voz_036.png,2,25464,5288,OK
37,2026-09-02 12:20:47,mi_voz,dataset\wavs\mi_voz_037.wav,dataset\plots\mi_voz_037.png,2,24403,4250,OK
38,2026-09-02 12:20:51,mi_voz,dataset\wavs\mi_voz_038.wav,dataset\plots\mi_voz_038.png,2,32412,5382,OK
39,2026-09-02 12:20:54,mi_voz,dataset\wavs\mi_voz_039.wav,dataset\plots\mi_voz_039.png,2,24451,6960,OK
40,2026-09-02 12:20:57,mi_voz,dataset\wavs\mi_voz_040.wav,dataset\plots\mi_voz_040.png,2,24179,3884,OK
41,2026-09-02 12:21:11,mi_voz,dataset\wavs\mi_voz_041.wav,dataset\plots\mi_voz_041.png,2,20568,3036,OK
42,2026-09-02 12:21:14,mi_voz,dataset\wavs\mi_voz_042.wav,dataset\plots\mi_voz_042.png,2,20466,3542,OK
43,2026-09-02 12:21:17,mi_voz,dataset\wavs\mi_voz_043.wav,dataset\plots\mi_voz_043.png,2,14349,2725,OK
44,2026-09-02 12:21:21,mi_voz,dataset\wavs\mi_voz_044.wav,dataset\plots\mi_voz_044.png,2,18225,3112,OK
45,2026-09-02 12:21:25,mi_voz,dataset\wavs\mi_voz_045.wav,dataset\plots\mi_voz_045.png,2,16520,2594,OK
46,2026-09-02 12:21:28,mi_voz,dataset\wavs\mi_voz_046.wav,dataset\plots\mi_voz_046.png,2,14329,4188,OK
47,2026-09-02 12:21:31,mi_voz,dataset\wavs\mi_voz_047.wav,dataset\plots\mi_voz_047.png,2,17484,5789,OK
48,2026-09-02 12:21:34,mi_voz,dataset\wavs\mi_voz_048.wav,dataset\plots\mi_voz_048.png,2,15328,2848,OK
49,2026-09-02 12:21:37,mi_voz,dataset\wavs\mi_voz_049.wav,dataset\plots\mi_voz_049.png,2,14972,3159,OK
50,2026-09-02 12:21:40,mi_voz,dataset\wavs\mi_voz_050.wav,dataset\plots\mi_voz_050.png,2,17769,3195,OK
51,2026-09-02 12:21:44,mi_voz,dataset\wavs\mi_voz_051.wav,dataset\plots\mi_voz_051.png,2,15505,2834,OK
52,2026-09-02 12:21:47,mi_voz,dataset\wavs\mi_voz_052.wav,dataset\plots\mi_voz_052.png,2,17152,2656,OK
53,2026-09-02 12:21:50,mi_voz,dataset\wavs\mi_voz_053.wav,dataset\plots\mi_voz_053.png,2,21134,3375,OK
54,2026-09-02 12:21:54,mi_voz,dataset\wavs\mi_voz_054.wav,dataset\plots\mi_voz_054.png,2,22857,4170,OK
55,2026-09-02 12:21:57,mi_voz,dataset\wavs\mi_voz_055.wav,dataset\plots\mi_voz_055.png,2,14916,2726,OK
56,2026-09-02 12:22:00,mi_voz,dataset\wavs\mi_voz_056.wav,dataset\plots\mi_voz_056.png,2,21804,3921,OK
57,2026-09-02 12:22:03,mi_voz,dataset\wavs\mi_voz_057.wav,dataset\plots\mi_voz_057.png,2,19438,3591,OK
58,2026-09-02 12:22:06,mi_voz,dataset\wavs\mi_voz_058.wav,dataset\plots\mi_voz_058.png,2,17159,3033,OK
59,2026-09-02 12:22:09,mi_voz,dataset\wavs\mi_voz_059.wav,dataset\plots\mi_voz_059.png,2,26805,5536,OK
60,2026-09-02 12:22:12,mi_voz,dataset\wavs\mi_voz_060.wav,dataset\plots\mi_voz_060.png,2,31508,10721,OK
61,2026-09-02 12:22:15,mi_voz,dataset\wavs\mi_voz_061.wav,dataset\plots\mi_voz_061.png,2,13587,5411,OK
62,2026-09-02 12:22:18,mi_voz,dataset\wavs\mi_voz_062.wav,dataset\plots\mi_voz_062.png,2,10750,1937,OK
63,2026-09-02 12:22:21,mi_voz,dataset\wavs\mi_voz_063.wav,dataset\plots\mi_voz_063.png,2,9855,2014,OK
64,2026-09-02 12:22:25,mi_voz,dataset\wavs\mi_voz_064.wav,dataset\plots\mi_voz_064.png,2,24261,4024,OK
65,2026-09-02 12:22:28,mi_voz,dataset\wavs\mi_voz_065.wav,dataset\plots\mi_voz_065.png,2,21354,3391,OK
66,2026-09-02 12:22:32,mi_voz,dataset\wavs\mi_voz_066.wav,dataset\plots\mi_voz_066.png,2,20070,2447,OK
67,2026-09-02 12:22:35,mi_voz,dataset\wavs\mi_voz_067.wav,dataset\plots\mi_voz_067.png,2,14986,2692,OK
68,2026-09-02 12:22:38,mi_voz,dataset\wavs\mi_voz_068.wav,dataset\plots\mi_voz_068.png,2,14427,2444,OK
69,2026-09-02 12:22:41,mi_voz,dataset\wavs\mi_voz_069.wav,dataset\plots\mi_voz_069.png,2,19359,2793,OK
70,2026-09-02 12:22:44,mi_voz,dataset\wavs\mi_voz_070.wav,dataset\plots\mi_voz_070.png,2,16759,2322,OK
71,2026-09-02 12:22:47,mi_voz,dataset\wavs\mi_voz_071.wav,dataset\plots\mi_voz_071.png,2,13583,1991,OK
72,2026-09-02 12:22:51,mi_voz,dataset\wavs\mi_voz_072.wav,dataset\plots\mi_voz_072.png,2,19004,3160,OK
73,2026-09-02 12:22:54,mi_voz,dataset\wavs\mi_voz_073.wav,dataset\plots\mi_voz_073.png,2,16411,3085,OK
74,2026-09-02 12:22:57,mi_voz,dataset\wavs\mi_voz_074.wav,dataset\plots\mi_voz_074.png,2,16753,2853,OK
75,2026-09-02 12:23:00,mi_voz,dataset\wavs\mi_voz_075.wav,dataset\plots\mi_voz_075.png,2,18884,4379,OK
76,2026-09-02 12:23:03,mi_voz,dataset\wavs\mi_voz_076.wav,dataset\plots\mi_voz_076.png,2,17317,3124,OK
77,2026-09-02 12:23:06,mi_voz,dataset\wavs\mi_voz_077.wav,dataset\plots\mi_voz_077.png,2,17686,2754,OK
78,2026-09-02 12:23:09,mi_voz,dataset\wavs\mi_voz_078.wav,dataset\plots\mi_voz_078.png,2,15938,2472,OK
79,2026-09-02 12:23:12,mi_voz,dataset\wavs\mi_voz_079.wav,dataset\plots\mi_voz_079.png,2,17434,3146,OK
80,2026-09-02 12:23:16,mi_voz,dataset\wavs\mi_voz_080.wav,dataset\plots\mi_voz_080.png,2,18428,3074,OK
81,2026-09-02 12:23:19,mi_voz,dataset\wavs\mi_voz_081.wav,dataset\plots\mi_voz_081.png,2,18511,2984,OK
82,2026-09-02 12:23:22,mi_voz,dataset\wavs\mi_voz_082.wav,dataset\plots\mi_voz_082.png,2,15869,2455,OK
83,2026-09-02 12:23:25,mi_voz,dataset\wavs\mi_voz_083.wav,dataset\plots\mi_voz_083.png,2,13137,2272,OK
84,2026-09-02 12:23:28,mi_voz,dataset\wavs\mi_voz_084.wav,dataset\plots\mi_voz_084.png,2,12688,2988,OK
85,2026-09-02 12:23:31,mi_voz,dataset\wavs\mi_voz_085.wav,dataset\plots\mi_voz_085.png,2,17281,2895,OK
86,2026-09-02 12:23:34,mi_voz,dataset\wavs\mi_voz_086.wav,dataset\plots\mi_voz_086.png,2,14079,2844,OK
87,2026-09-02 12:23:37,mi_voz,dataset\wavs\mi_voz_087.wav,dataset\plots\mi_voz_087.png,2,15733,2742,OK
88,2026-09-02 12:23:40,mi_voz,dataset\wavs\mi_voz_088.wav,dataset\plots\mi_voz_088.png,2,15250,3764,OK
89,2026-09-02 12:23:43,mi_voz,dataset\wavs\mi_voz_089.wav,dataset\plots\mi_voz_089.png,2,26374,7945,OK
90,2026-09-02 12:23:46,mi_voz,dataset\wavs\mi_voz_090.wav,dataset\plots\mi_voz_090.png,2,27875,6020,OK
91,2026-09-02 12:23:49,mi_voz,dataset\wavs\mi_voz_091.wav,dataset\plots\mi_voz_091.png,2,19072,6012,OK
92,2026-09-02 12:23:52,mi_voz,dataset\wavs\mi_voz_092.wav,dataset\plots\mi_voz_092.png,2,12375,2363,OK
93,2026-09-02 12:23:55,mi_voz,dataset\wavs\mi_voz_093.wav,dataset\plots\mi_voz_093.png,2,18441,3190,OK
94,2026-09-02 12:23:59,mi_voz,dataset\wavs\mi_voz_094.wav,dataset\plots\mi_voz_094.png,2,17476,3893,OK
95,2026-09-02 12:24:02,mi_voz,dataset\wavs\mi_voz_095.wav,dataset\plots\mi_voz_095.png,2,14228,2921,OK
96,2026-09-02 12:24:05,mi_voz,dataset\wavs\mi_voz_096.wav,dataset\plots\mi_voz_096.png,2,18780,2805,OK
97,2026-09-02 12:24:08,mi_voz,dataset\wavs\mi_voz_097.wav,dataset\plots\mi_voz_097.png,2,19723,3139,OK
98,2026-09-02 12:24:11,mi_voz,dataset\wavs\mi_voz_098.wav,dataset\plots\mi_voz_098.png,2,18623,3079,OK
99,2026-09-02 12:24:14,mi_voz,dataset\wavs\mi_voz_099.wav,dataset\plots\mi_voz_099.png,2,18772,3153,OK
100,2026-09-02 12:24:17,mi_voz,dataset\wavs\mi_voz_100.wav,dataset\plots\mi_voz_100.png,2,16927,2996,OK
101,2026-09-02 12:24:20,mi_voz,dataset\wavs\mi_voz_101.wav,dataset\plots\mi_voz_101.png,2,15360,2719,OK
102,2026-09-02 12:24:23,mi_voz,dataset\wavs\mi_voz_102.wav,dataset\plots\mi_voz_102.png,2,21566,3922,OK
103,2026-09-02 12:24:26,mi_voz,dataset\wavs\mi_voz_103.wav,dataset\plots\mi_voz_103.png,2,19355,3476,OK
104,2026-09-02 12:24:29,mi_voz,dataset\wavs\mi_voz_104.wav,dataset\plots\mi_voz_104.png,2,19677,3497,OK
105,2026-09-02 12:24:33,mi_voz,dataset\wavs\mi_voz_105.wav,dataset\plots\mi_voz_105.png,2,18333,3371,OK
106,2026-09-02 12:24:36,mi_voz,dataset\wavs\mi_voz_106.wav,dataset\plots\mi_voz_106.png,2,17800,3968,OK
107,2026-09-02 12:24:39,mi_voz,dataset\wavs\mi_voz_107.wav,dataset\plots\mi_voz_107.png,2,13657,2896,OK
108,2026-09-02 12:24:42,mi_voz,dataset\wavs\mi_voz_108.wav,dataset\plots\mi_voz_108.png,2,16874,4109,OK
109,2026-09-02 12:24:45,mi_voz,dataset\wavs\mi_voz_109.wav,dataset\plots\mi_voz_109.png,2,16907,3485,OK
110,2026-09-02 12:24:48,mi_voz,dataset\wavs\mi_voz_110.wav,dataset\plots\mi_voz_110.png,2,13514,2139,OK
111,2026-09-02 12:24:51,mi_voz,dataset\wavs\mi_voz_111.wav,dataset\plots\mi_voz_111.png,2,16137,5066,OK
112,2026-09-02 12:24:54,mi_voz,dataset\wavs\mi_voz_112.wav,dataset\plots\mi_voz_112.png,2,12908,2154,OK
113,2026-09-02 12:24:57,mi_voz,dataset\wavs\mi_voz_113.wav,dataset\plots\mi_voz_113.png,2,15389,2754,OK
114,2026-09-02 12:25:00,mi_voz,dataset\wavs\mi_voz_114.wav,dataset\plots\mi_voz_114.png,2,17822,3669,OK
115,2026-09-02 12:25:03,mi_voz,dataset\wavs\mi_voz_115.wav,dataset\plots\mi_voz_115.png,2,16470,3760,OK
116,2026-09-02 12:25:08,mi_voz,dataset\wavs\mi_voz_116.wav,dataset\plots\mi_voz_116.png,2,15513,2899,OK
117,2026-09-02 12:25:12,mi_voz,dataset\wavs\mi_voz_117.wav,dataset\plots\mi_voz_117.png,2,15969,2502,OK
118,2026-09-02 12:25:15,mi_voz,dataset\wavs\mi_voz_118.wav,dataset\plots\mi_voz_118.png,2,15721,3382,OK
119,2026-09-02 12:25:19,mi_voz,dataset\wavs\mi_voz_119.wav,dataset\plots\mi_voz_119.png,2,15783,2489,OK
120,2026-09-02 12:25:22,mi_voz,dataset\wavs\mi_voz_120.wav,dataset\plots\mi_voz_120.png,2,15992,2751,OK
121,2026-09-02 12:25:25,mi_voz,dataset\wavs\mi_voz_121.wav,dataset\plots\mi_voz_121.png,2,13507,2399,OK
122,2026-09-02 12:25:28,mi_voz,dataset\wavs\mi_voz_122.wav,dataset\plots\mi_voz_122.png,2,13919,2222,OK
123,2026-09-02 12:25:32,mi_voz,dataset\wavs\mi_voz_123.wav,dataset\plots\mi_voz_123.png,2,12989,2560,OK
124,2026-09-02 12:25:35,mi_voz,dataset\wavs\mi_voz_124.wav,dataset\plots\mi_voz_124.png,2,16077,2352,OK
125,2026-09-02 12:25:39,mi_voz,dataset\wavs\mi_voz_125.wav,dataset\plots\mi_voz_125.png,2,16496,2517,OK
126,2026-09-02 12:25:42,mi_voz,dataset\wavs\mi_voz_126.wav,dataset\plots\mi_voz_126.png,2,17510,2604,OK
127,2026-09-02 12:25:45,mi_voz,dataset\wavs\mi_voz_127.wav,dataset\plots\mi_voz_127.png,2,18567,2649,OK
128,2026-09-02 12:25:48,mi_voz,dataset\wavs\mi_voz_128.wav,dataset\plots\mi_voz_128.png,2,14056,2581,OK
129,2026-09-02 12:25:51,mi_voz,dataset\wavs\mi_voz_129.wav,dataset\plots\mi_voz_129.png,2,11669,2141,OK
130,2026-09-02 12:25:54,mi_voz,dataset\wavs\mi_voz_130.wav,dataset\plots\mi_voz_130.png,2,11742,2252,OK
131,2026-09-02 12:25:57,mi_voz,dataset\wavs\mi_voz_131.wav,dataset\plots\mi_voz_131.png,2,12693,2318,OK
132,2026-09-02 12:26:02,mi_voz,dataset\wavs\mi_voz_132.wav,dataset\plots\mi_voz_132.png,2,12877,2378,OK
133,2026-09-02 12:26:05,mi_voz,dataset\wavs\mi_voz_133.wav,dataset\plots\mi_voz_133.png,2,13744,2727,OK
134,2026-09-02 12:26:08,mi_voz,dataset\wavs\mi_voz_134.wav,dataset\plots\mi_voz_134.png,2,14603,2741,OK
135,2026-09-02 12:26:12,mi_voz,dataset\wavs\mi_voz_135.wav,dataset\plots\mi_voz_135.png,2,11583,2194,OK
136,2026-09-02 12:26:19,mi_voz,dataset\wavs\mi_voz_136.wav,dataset\plots\mi_voz_136.png,2,16713,3776,OK
137,2026-09-02 12:26:22,mi_voz,dataset\wavs\mi_voz_137.wav,dataset\plots\mi_voz_137.png,2,15041,2703,OK
138,2026-09-02 12:26:25,mi_voz,dataset\wavs\mi_voz_138.wav,dataset\plots\mi_voz_138.png,2,24513,4823,OK
139,2026-09-02 12:26:28,mi_voz,dataset\wavs\mi_voz_139.wav,dataset\plots\mi_voz_139.png,2,21570,4370,OK
140,2026-09-02 12:26:31,mi_voz,dataset\wavs\mi_voz_140.wav,dataset\plots\mi_voz_140.png,2,18842,2863,OK
141,2026-09-02 12:26:35,mi_voz,dataset\wavs\mi_voz_141.wav,dataset\plots\mi_voz_141.png,2,13625,2007,OK
142,2026-09-02 12:26:39,mi_voz,dataset\wavs\mi_voz_142.wav,dataset\plots\mi_voz_142.png,2,12263,2279,OK
143,2026-09-02 12:26:42,mi_voz,dataset\wavs\mi_voz_143.wav,dataset\plots\mi_voz_143.png,2,12609,2014,OK
144,2026-09-02 12:26:45,mi_voz,dataset\wavs\mi_voz_144.wav,dataset\plots\mi_voz_144.png,2,12647,2432,OK
145,2026-09-02 12:26:48,mi_voz,dataset\wavs\mi_voz_145.wav,dataset\plots\mi_voz_145.png,2,11784,2379,OK
146,2026-09-02 12:26:51,mi_voz,dataset\wavs\mi_voz_146.wav,dataset\plots\mi_voz_146.png,2,12828,2628,OK
147,2026-09-02 12:26:55,mi_voz,dataset\wavs\mi_voz_147.wav,dataset\plots\mi_voz_147.png,2,13154,3204,OK
148,2026-09-02 12:26:58,mi_voz,dataset\wavs\mi_voz_148.wav,dataset\plots\mi_voz_148.png,2,28759,3762,OK
149,2026-09-02 12:27:01,mi_voz,dataset\wavs\mi_voz_149.wav,dataset\plots\mi_voz_149.png,2,30695,7110,OK
150,2026-09-02 12:27:03,mi_voz,dataset\wavs\mi_voz_150.wav,dataset\plots\mi_voz_150.png,2,22890,8710,OK
151,2026-09-02 12:27:07,mi_voz,dataset\wavs\mi_voz_151.wav,dataset\plots\mi_voz_151.png,2,19218,6449,OK
152,2026-09-02 12:27:10,mi_voz,dataset\wavs\mi_voz_152.wav,dataset\plots\mi_voz_152.png,2,22496,4498,OK
153,2026-09-02 12:27:13,mi_voz,dataset\wavs\mi_voz_153.wav,dataset\plots\mi_voz_153.png,2,19396,3939,OK
154,2026-09-02 12:27:16,mi_voz,dataset\wavs\mi_voz_154.wav,dataset\plots\mi_voz_154.png,2,19117,2160,OK
155,2026-09-02 12:27:19,mi_voz,dataset\wavs\mi_voz_155.wav,dataset\plots\mi_voz_155.png,2,16521,3198,OK
156,2026-09-02 12:27:21,mi_voz,dataset\wavs\mi_voz_156.wav,dataset\plots\mi_voz_156.png,2,16337,2943,OK
157,2026-09-02 12:27:24,mi_voz,dataset\wavs\mi_voz_157.wav,dataset\plots\mi_voz_157.png,2,14601,2939,OK
158,2026-09-02 12:27:27,mi_voz,dataset\wavs\mi_voz_158.wav,dataset\plots\mi_voz_158.png,2,16392,3151,OK
159,2026-09-02 12:27:30,mi_voz,dataset\wavs\mi_voz_159.wav,dataset\plots\mi_voz_159.png,2,14133,2911,OK
160,2026-09-02 12:27:34,mi_voz,dataset\wavs\mi_voz_160.wav,dataset\plots\mi_voz_160.png,2,18652,3259,OK
161,2026-09-02 12:27:37,mi_voz,dataset\wavs\mi_voz_161.wav,dataset\plots\mi_voz_161.png,2,22259,3560,OK
162,2026-09-02 12:27:53,mi_voz,dataset\wavs\mi_voz_162.wav,dataset\plots\mi_voz_162.png,2,4498,1307,OK
163,2026-09-02 12:27:58,mi_voz,dataset\wavs\mi_voz_163.wav,dataset\plots\mi_voz_163.png,2,5206,1226,OK
164,2026-09-02 12:28:05,mi_voz,dataset\wavs\mi_voz_164.wav,dataset\plots\mi_voz_164.png,2,4426,1643,OK
165,2026-09-02 12:28:09,mi_voz,dataset\wavs\mi_voz_165.wav,dataset\plots\mi_voz_165.png,2,5709,2036,OK
166,2026-09-02 12:28:12,mi_voz,dataset\wavs\mi_voz_166.wav,dataset\plots\mi_voz_166.png,2,5498,1775,OK
167,2026-09-02 12:28:14,mi_voz,dataset\wavs\mi_voz_167.wav,dataset\plots\mi_voz_167.png,2,5229,1888,OK
168,2026-09-02 12:28:17,mi_voz,dataset\wavs\mi_voz_168.wav,dataset\plots\mi_voz_168.png,2,2401,839,OK
169,2026-09-02 12:28:20,mi_voz,dataset\wavs\mi_voz_169.wav,dataset\plots\mi_voz_169.png,2,4451,1720,OK
170,2026-09-02 12:28:23,mi_voz,dataset\wavs\mi_voz_170.wav,dataset\plots\mi_voz_170.png,2,10552,3129,OK
171,2026-09-02 12:28:25,mi_voz,dataset\wavs\mi_voz_171.wav,dataset\plots\mi_voz_171.png,2,3182,915,OK
172,2026-09-02 12:28:28,mi_voz,dataset\wavs\mi_voz_172.wav,dataset\plots\mi_voz_172.png,2,4619,1665,OK
173,2026-09-02 12:28:31,mi_voz,dataset\wavs\mi_voz_173.wav,dataset\plots\mi_voz_173.png,2,5866,1750,OK
174,2026-09-02 12:28:34,mi_voz,dataset\wavs\mi_voz_174.wav,dataset\plots\mi_voz_174.png,2,5027,2027,OK
175,2026-09-02 12:28:36,mi_voz,dataset\wavs\mi_voz_175.wav,dataset\plots\mi_voz_175.png,2,7959,2011,OK
176,2026-09-02 12:28:39,mi_voz,dataset\wavs\mi_voz_176.wav,dataset\plots\mi_voz_176.png,2,4927,1941,OK
177,2026-09-02 12:28:41,mi_voz,dataset\wavs\mi_voz_177.wav,dataset\plots\mi_voz_177.png,2,5221,2425,OK
178,2026-09-02 12:28:44,mi_voz,dataset\wavs\mi_voz_178.wav,dataset\plots\mi_voz_178.png,2,6386,1724,OK
179,2026-09-02 12:28:47,mi_voz,dataset\wavs\mi_voz_179.wav,dataset\plots\mi_voz_179.png,2,7653,3051,OK
180,2026-09-02 12:28:49,mi_voz,dataset\wavs\mi_voz_180.wav,dataset\plots\mi_voz_180.png,2,8768,2742,OK
181,2026-09-02 12:28:52,mi_voz,dataset\wavs\mi_voz_181.wav,dataset\plots\mi_voz_181.png,2,5956,2366,OK
182,2026-09-02 12:28:55,mi_voz,dataset\wavs\mi_voz_182.wav,dataset\plots\mi_voz_182.png,2,4479,1831,OK
183,2026-09-02 12:28:57,mi_voz,dataset\wavs\mi_voz_183.wav,dataset\plots\mi_voz_183.png,2,3318,1161,OK
184,2026-09-02 12:29:00,mi_voz,dataset\wavs\mi_voz_184.wav,dataset\plots\mi_voz_184.png,2,5008,2002,OK
185,2026-09-02 12:29:03,mi_voz,dataset\wavs\mi_voz_185.wav,dataset\plots\mi_voz_185.png,2,4144,1693,OK
186,2026-09-02 12:29:06,mi_voz,dataset\wavs\mi_voz_186.wav,dataset\plots\mi_voz_186.png,2,4979,1819,OK
187,2026-09-02 12:29:09,mi_voz,dataset\wavs\mi_voz_187.wav,dataset\plots\mi_voz_187.png,2,5021,1899,OK
188,2026-09-02 12:29:12,mi_voz,dataset\wavs\mi_voz_188.wav,dataset\plots\mi_voz_188.png,2,5742,2150,OK
189,2026-09-02 12:29:14,mi_voz,dataset\wavs\mi_voz_189.wav,dataset\plots\mi_voz_189.png,2,5035,1946,OK
190,2026-09-02 12:29:17,mi_voz,dataset\wavs\mi_voz_190.wav,dataset\plots\mi_voz_190.png,2,5046,2002,OK
191,2026-09-02 12:29:20,mi_voz,dataset\wavs\mi_voz_191.wav,dataset\plots\mi_voz_191.png,2,4788,1933,OK
192,2026-09-02 12:29:22,mi_voz,dataset\wavs\mi_voz_192.wav,dataset\plots\mi_voz_192.png,2,2374,634,OK
193,2026-09-02 12:29:25,mi_voz,dataset\wavs\mi_voz_193.wav,dataset\plots\mi_voz_193.png,2,4398,1992,OK
194,2026-09-02 12:29:28,mi_voz,dataset\wavs\mi_voz_194.wav,dataset\plots\mi_voz_194.png,2,4057,1736,OK
195,2026-09-02 12:29:31,mi_voz,dataset\wavs\mi_voz_195.wav,dataset\plots\mi_voz_195.png,2,4089,1673,OK
196,2026-09-02 12:29:33,mi_voz,dataset\wavs\mi_voz_196.wav,dataset\plots\mi_voz_196.png,2,4684,2151,OK
197,2026-09-02 12:29:36,mi_voz,dataset\wavs\mi_voz_197.wav,dataset\plots\mi_voz_197.png,2,4143,1613,OK
198,2026-09-02 12:29:39,mi_voz,dataset\wavs\mi_voz_198.wav,dataset\plots\mi_voz_198.png,2,8629,2666,OK
199,2026-09-02 12:29:41,mi_voz,dataset\wavs\mi_voz_199.wav,dataset\plots\mi_voz_199.png,2,5425,2201,OK
200,2026-09-02 12:29:44,mi_voz,dataset\wavs\mi_voz_200.wav,dataset\plots\mi_voz_200.png,2,6717,2354,OK
201,2026-09-02 12:29:47,mi_voz,dataset\wavs\mi_voz_201.wav,dataset\plots\mi_voz_201.png,2,5778,1979,OK
202,2026-09-02 12:29:49,mi_voz,dataset\wavs\mi_voz_202.wav,dataset\plots\mi_voz_202.png,2,5258,1671,OK
203,2026-09-02 12:29:52,mi_voz,dataset\wavs\mi_voz_203.wav,dataset\plots\mi_voz_203.png,2,5080,1952,OK
